text,intent,response,language,channel,source
where to track transfer status on paynow in orchard singapore after evening transfer steady case 73,transaction_status,"Track status from transaction history to see pending, failed, or completed updates. Interbank or cross-border transfers can take longer during settlement windows. For where track transfer, verify whether the route is intra-bank or cross-network. In singapore, paynow activity through your selected channel at evening can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
top up limit for account in da nang vietnam using qr transfer cam on,wallet_topup,"Top up your wallet using supported sources and verify funding limits first. Pending top-ups normally resolve after network or partner confirmation. For top limit nang, confirm wallet balance update after settlement. In vietnam, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
can i send from wallet to bank via mobile app in bangkok thailand using promptpay ka,fund_transfer,"Start a transfer by confirming recipient details, amount, and security verification. Recheck account name and rail before final submission. For send from wallet, confirm transfer rail and recipient account format before submission. In thailand, promptpay activity through mobile app at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
how to top up wallet with paynow in tampines singapore via merchant terminal steady,wallet_topup,"Top up your wallet using supported sources and verify funding limits first. Pending top-ups normally resolve after network or partner confirmation. For top wallet paynow, verify top-up source, limits, and confirmation status. In singapore, paynow activity through merchant terminal at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
how to pay utility bill with bakong in phnom penh cambodia via merchant terminal knyom case 133,bill_payment,"Select the biller, enter the correct reference, and confirm payment securely. Save the receipt and enable reminders for recurring due dates. For pay utility bill, save proof of payment for future reconciliation. In phnom penh, bakong activity through merchant terminal at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
card declined at night market in davao philippines at morning po case 43,card_issue,"Use card controls to freeze, replace, or troubleshoot your card immediately. If the card is lost, block it first before requesting a replacement. For card declined night, keep transaction alerts enabled while troubleshooting. In philippines, local payment rail activity through your selected channel at morning can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
why is available balance different after 250 vnd payment in can tho vietnam nhe,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different 250, refresh balance screen after a short delay to capture late posting updates. In can tho, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 250 VND transaction and share exact timestamp if support follow-up is needed.",en,mobile,asia_research_qa2016
i got a message that i cannot name x as a beneficiary,transaction_status,You can track the latest transaction status in your transaction history. Pending transfers usually update after bank settlement windows.,en,mobile,banking77_local
how to freeze lost card in orchard singapore and request replacement steady case 137,card_issue,"Use card controls to freeze, replace, or troubleshoot your card immediately. If the card is lost, block it first before requesting a replacement. For freeze lost card, use card controls to freeze and secure the card immediately. In singapore, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
please help me my physical card isn t working right,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot. Use instant freeze first if you suspect risk.",en,mobile,banking77_local
i want to get some cash from the atm using my card but i dont want to be charged any fees ive taken some money out before with no fees but recently ive been getting charged why,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account. Daily limits and partner ATM fees may apply.,en,mobile,banking77_local
someone used my account at fuel station in ipoh malaysia at late night cepat case 32,fraud_report,"Lock risky payment methods immediately and file an unauthorized transaction report. Share the reference ID and timestamp so support can investigate quickly. For someone fuel station, lock risky payment access immediately and file an unauthorized report. In malaysia, local payment rail activity through your selected channel at late night can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
where to track transfer status on qris in surabaya indonesia after late night transfer tolong,transaction_status,"Track status from transaction history to see pending, failed, or completed updates. Interbank or cross-border transfers can take longer during settlement windows. For where track transfer, check transaction timeline for pending, success, or failure updates. In indonesia, qris activity through your selected channel at late night can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
i have a payment i didn t do,fraud_report,Please report the suspicious transaction immediately and lock your card for safety. Our team can then start a dispute review.,en,mobile,banking77_local
where is my unknown payment from,fraud_report,Please report the suspicious transaction immediately and lock your card for safety. Our team can then start a dispute review.,en,mobile,banking77_local
why is available balance different after 40 riel payment in siem reap cambodia knyom case 122,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different riel, refresh balance screen after a short delay to capture late posting updates. In siem reap, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 40 RIEL transaction and share exact timestamp if support follow-up is needed.",en,mobile,asia_research_qa2016
what are the reasons for my beneficiary not being allowed,transaction_status,You can track the latest transaction status in your transaction history. Pending transfers usually update after bank settlement windows.,en,mobile,banking77_local
what details needed to register new account in siem reap cambodia for salary credit knyom case 162,account_opening,"Complete digital onboarding with your personal details and verification steps. Prepare your ID and active mobile number to avoid activation delays. For details needed register, prepare ID and personal data for faster activation checks. In siem reap, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
wallet top up pending in manila philippines after adding 40 php po case 161,wallet_topup,"Top up your wallet using supported sources and verify funding limits first. Pending top-ups normally resolve after network or partner confirmation. For wallet top pending, confirm wallet balance update after settlement. In philippines, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
the atm charged me an extra fee why,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account. Daily limits and partner ATM fees may apply.,en,mobile,banking77_local
transfer failed on fpx in johor bahru malaysia at late night for travel expense tak case 87,fund_transfer,"Start a transfer by confirming recipient details, amount, and security verification. Recheck account name and rail before final submission. For transfer failed fpx, verify beneficiary details before you retry any transfer. In malaysia, local payment rail activity through your selected channel at late night can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
someone used my account at grocery in manila philippines at morning po,fraud_report,"Lock risky payment methods immediately and file an unauthorized transaction report. Share the reference ID and timestamp so support can investigate quickly. For someone grocery manila, enable security alerts and document exact incident timing. In philippines, local payment rail activity through your selected channel at morning can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
my card don t work,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot. Use instant freeze first if you suspect risk.",en,mobile,banking77_local
cash not dispensed but 55 idr deducted in jakarta indonesia ya,cash_withdrawal,"Use supported ATMs and verify daily limits before retrying. Keep your receipt and reference code if cash was not dispensed. For cash not dispensed, keep receipt and reference when cash is not dispensed. In jakarta, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
hi is there any problem with app as i am facing some issues with the exchange of crypto currency i am extremely interested in buying,transaction_status,You can track the latest transaction status in your transaction history. Pending transfers usually update after bank settlement windows.,en,mobile,banking77_local
my card doesn t work when i use it,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot. Use instant freeze first if you suspect risk.",en,mobile,banking77_local
hello my transfers are getting failed continuously in spite of the fact that all the recipient details are correct please advise,transaction_status,You can track the latest transaction status in your transaction history. Pending transfers usually update after bank settlement windows.,en,mobile,banking77_local
why did i get charged for a withdrawal,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account. Daily limits and partner ATM fees may apply.,en,mobile,banking77_local
where to track transfer status on bank transfer in hanoi vietnam after evening transfer cam on case 133,transaction_status,"Track status from transaction history to see pending, failed, or completed updates. Interbank or cross-border transfers can take longer during settlement windows. For where track transfer, contact support if status remains unchanged beyond expected window. In vietnam, bank transfer activity through your selected channel at evening can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
is my card broken,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot. Use instant freeze first if you suspect risk.",en,mobile,banking77_local
card declined at school in hyderabad india at afternoon please case 76,card_issue,"Use card controls to freeze, replace, or troubleshoot your card immediately. If the card is lost, block it first before requesting a replacement. For card declined school, keep transaction alerts enabled while troubleshooting. In india, aba activity through your selected channel at afternoon can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
card declined at school in surabaya indonesia at late night tolong case 166,card_issue,"Use card controls to freeze, replace, or troubleshoot your card immediately. If the card is lost, block it first before requesting a replacement. For card declined school, use card controls to freeze and secure the card immediately. In indonesia, aba activity through your selected channel at late night can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
why did i get charged a fee on my card,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation to avoid surprise charges.,en,mobile,banking77_local
what was the extra charge for using my card,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation to avoid surprise charges.,en,mobile,banking77_local
is there cross border fee from philippines corridor when using gcash naman case 138,fee_inquiry,"Fees vary by transfer type, route, and service provider. Always review fee preview and exchange-rate details before confirming. For there cross border, check whether your account tier changes fee rates. In philippines, gcash activity through your selected channel at this period can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
someone used my account at grocery in tampines singapore at evening steady,fraud_report,"Lock risky payment methods immediately and file an unauthorized transaction report. Share the reference ID and timestamp so support can investigate quickly. For someone grocery tampines, escalate through fraud support with verified transaction evidence. In singapore, local payment rail activity through your selected channel at evening can post with slight delay depending on settlement windows.",en,mobile,asia_research_qa2016
