text,intent,response,language,channel,source
how can i check my balance on qris in jakarta indonesia via mobile app at late night ya,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance qris, check latest posted entries and confirm whether any item is still pending. In jakarta, qris activity through mobile app at late night can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance qris jakarta; city=jakarta; rail=qris; channel=mobile app; time=late night; local_tone=ya.",en,mobile,asia_research_qa2016
why is available balance different after 40 riel payment in siem reap cambodia knyom,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different riel, check latest posted entries and confirm whether any item is still pending. In siem reap, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 40 RIEL transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different riel payment; city=siem reap; rail=standard rail; channel=default channel; time=standard time; local_tone=knyom.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in phuket thailand ka,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school phuket, open account summary and compare current versus available balance. In phuket, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school phuket thailand; city=phuket; rail=standard rail; channel=default channel; time=standard time; local_tone=neutral.",en,mobile,asia_research_qa2016
how can i check my balance on paynow in woodlands singapore via qr scanner at evening lah,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance paynow, review recent credits/debits and verify posting order. In woodlands, paynow activity through qr scanner at evening can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance paynow woodlands; city=woodlands; rail=paynow; channel=qr scanner; time=evening; local_tone=lah.",en,mobile,asia_research_qa2016
why is available balance different after 55 myr payment in kuala lumpur malaysia tak,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different myr, open account summary and compare current versus available balance. In kuala lumpur, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 55 MYR transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different myr payment; city=kuala lumpur; rail=standard rail; channel=default channel; time=standard time; local_tone=tak.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in cebu philippines naman,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance night market, refresh balance screen after a short delay to capture late posting updates. In cebu, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance night market cebu; city=cebu; rail=standard rail; channel=default channel; time=standard time; local_tone=naman.",en,mobile,asia_research_qa2016
how can i check my balance on upi in bengaluru india via web banking at afternoon thoda,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance upi, open account summary and compare current versus available balance. In bengaluru, upi activity through web banking at afternoon can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance upi bengaluru; city=bengaluru; rail=upi; channel=web banking; time=afternoon; local_tone=thoda.",en,mobile,asia_research_qa2016
why is available balance different after 70 vnd payment in can tho vietnam nhe,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance different vnd, open account summary and compare current versus available balance. In can tho, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. Keep reference details for the 70 VND transaction and share exact timestamp if support follow-up is needed. Scenario context: focus=balance different vnd payment; city=can tho; rail=standard rail; channel=default channel; time=standard time; local_tone=nhe.",en,mobile,asia_research_qa2016
show current and available balance for account used at school in jakarta indonesia ya,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For balance school jakarta, refresh balance screen after a short delay to capture late posting updates. In jakarta, local payment rail activity through your selected channel at this period can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=balance school jakarta indonesia; city=jakarta; rail=standard rail; channel=default channel; time=standard time; local_tone=ya.",en,mobile,asia_research_qa2016
how can i check my balance on acleda in siem reap cambodia via merchant terminal at morning som help,balance_inquiry,"Open your account dashboard to view current and available balance. If recent activity is missing, refresh and review the latest transaction history. For check balance acleda, check latest posted entries and confirm whether any item is still pending. In siem reap, acleda activity through merchant terminal at morning can post with slight delay depending on settlement windows. If status stays unchanged, retry once safely and keep the reference ID for escalation. Scenario context: focus=check balance acleda siem; city=siem reap; rail=acleda; channel=merchant terminal; time=morning; local_tone=som help.",en,mobile,asia_research_qa2016
