text,intent,response,language,channel,source
recipient not received 15 riel funds yet in battambang cambodia ot ban,transaction_status,"You can view real-time transaction progress in the app activity tab. If it remains pending too long, contact support with the reference ID.",en,mobile,asia_research_qa2016
contactless card not working in hyderabad india on agent outlet checkout please,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,asia_research_qa2016
how to open digital savings account in siem reap cambodia without branch visit ban te,account_opening,"New account registration is available digitally with quick KYC checks. Follow each step and review your information before submitting. For open digital savings, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,asia_research_qa2016
can i send from wallet to bank via merchant terminal in kampot cambodia using khqr ot ban,fund_transfer,"Use the transfer flow in-app to send funds to bank or wallet accounts. Keep your verification code private before confirming. For send wallet bank, make sure your profile and security settings are up to date to avoid delays.",en,mobile,asia_research_qa2016
can i send from wallet to bank via web banking in kampot cambodia using wing som help,fund_transfer,"Choose Transfer, select the recipient, and enter the amount. Confirm with OTP or biometric verification to finish securely.",en,mobile,asia_research_qa2016
contactless card not working in surabaya indonesia on mobile app checkout tolong,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For contactless card not, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,asia_research_qa2016
replace damaged debit card urgently,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For replace damaged debit, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,asia_custom
cambodia cash withdrawal in phnom penh sample_5,cash_withdrawal,"Use card-enabled ATMs to withdraw funds from your account. Keep the receipt and reference if the cash was not dispensed. For cambodia cash withdrawal, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,synthetic_seed_cambodia
can i set recurring bill payment for grocery in phnom penh cambodia ot ban,bill_payment,"Select the biller, enter the reference number, and confirm payment securely. Turn on reminders to avoid late fees. For set recurring bill, make sure your profile and security settings are up to date to avoid delays.",en,mobile,asia_research_qa2016
where to track transfer status on upi in hyderabad india after afternoon transfer please case 28,transaction_status,"Check transaction history to see whether the payment is pending, completed, or failed. Some transfers update after clearing windows.",en,mobile,asia_research_qa2016
show current and available balance for account used at night market in siem reap cambodia ot ban,balance_inquiry,"Your balance is shown on the dashboard under Accounts. If the amount looks old, wait a moment and sync again.",en,mobile,asia_research_qa2016
card declined at night market in battambang cambodia at morning som help,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,asia_research_qa2016
cambodia cash withdrawal in phnom penh sample_6,cash_withdrawal,Use card-enabled ATMs to withdraw funds from your account. Keep the receipt and reference if the cash was not dispensed.,en,mobile,synthetic_seed_cambodia
how to top up wallet with acleda in phnom penh cambodia via mobile app ot ban,wallet_topup,"Top up your wallet using a linked bank card or transfer option. Pending top ups usually resolve after payment network confirmation. For top wallet acleda, make sure your profile and security settings are up to date to avoid delays.",en,mobile,asia_research_qa2016
how to freeze lost card in surabaya indonesia and request replacement tolong case 134,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For freeze lost card, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,asia_research_qa2016
transfer failed on khqr in kampot cambodia at morning for invoice settlement ot ban case 132,fund_transfer,"Choose Transfer, select the recipient, and enter the amount. Confirm with OTP or biometric verification to finish securely.",en,mobile,asia_research_qa2016
cambodia fee inquiry in phnom penh sample_2,fee_inquiry,"Open pricing or transfer preview to see service charges in advance. Card, ATM, or cross-border actions may have different fees.",en,mobile,synthetic_seed_cambodia
what documents needed for kyc in phnom penh cambodia if address changed recently knyom,kyc_verification,Complete KYC by submitting your ID details and clear document photos. Make sure the name and date of birth match exactly.,en,mobile,asia_research_qa2016
unauthorized payment of 15 riel seen on khqr in phnom penh cambodia nis,fraud_report,Please freeze your card or account access immediately from security settings. Then submit a fraud report so we can investigate the transaction.,en,mobile,asia_research_qa2016
how to freeze lost card in hyderabad india and request replacement please case 68,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For freeze lost card, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,asia_research_qa2016
cambodia wallet topup in phnom penh sample_14,wallet_topup,"Go to Wallet Top Up, choose funding source, and confirm securely. Check card limits if the top up does not complete.",en,mobile,synthetic_seed_cambodia
someone used my account at grocery in phnom penh cambodia at morning som help,fraud_report,"Please freeze your card or account access immediately from security settings. Then submit a fraud report so we can investigate the transaction. For someone used account, make sure your profile and security settings are up to date to avoid delays.",en,mobile,asia_research_qa2016
