text,intent,response,language,channel,source
i am still waiting on my card,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For waiting card, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
what can i do if my card still hasn t arrived after 2 weeks,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
i have been waiting over a week is the card still coming,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For have been waiting, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
can i track my card while it is in the process of delivery,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For track card while, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
how do i know if i will get my card or if it is lost,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For know will get, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
when did you send me my new card,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
do you have info about the card on delivery,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
what do i do if i still have not received my new card,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For have not received, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
does the package with my card have tracking,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
i ordered my card but it still isn t here,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For ordered card but, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
why has my new card still not come,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
i still haven t received my card after two weeks is it lost,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
can you track my card for me,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
is there a way to track the delivery of my card,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For there way track, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
it s been a week since i ordered my card and it s not here please help,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
will i be able to track the card that was sent to me,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
i don t have my card in 1 week should i be worried,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For don have card, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
how do i know when my new card is going to arrive,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For know new card, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
my new card has not been delivered to my home yet what is going on,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
it s been a week since you issued me a card and i still didn t get it should i keep waiting,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
on the card that is coming what s the tracking info,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
what is the status of my card s delivery,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For the status card, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
have you sent out my card yet,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
my card isn t here yet,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
where is my new card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
it s been a week since you sent my card and i still don t have it,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
how do i track the card you sent me,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
when will i recieve my new card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
when will i get my new card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For will get new, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
what is the expected delivery date for my card,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
is there a tracking number for the card you sent me,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For there tracking number, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
i would like to track the card you sent to me,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
has my card been lost in delivery,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
my new card hasn t came in,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For new card hasn, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
where is the card i ordered 2 weeks ago,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For the card ordered, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
can i get an update on my replacement card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For get update replacement, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
how long does it take for a new card to ship,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
what s the tracking on the card you sent,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For the tracking the, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
i haven t received my card and am worried it is lost,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For haven received card, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
my card still hasn t been delivered,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For card hasn been, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
i need to find out where the card is that i ordered,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For find out the, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
where is my credit card that was to be mailed,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
i ordered my card but it hasn t been delivered yet,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
am i able to track the card that was just sent to me,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For able track the, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
can you tell me why i haven t received my new card,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
i m still waiting for my new card,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For waiting for new, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
is my card lost i am still waiting for it to be delivered,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For card lost waiting, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
should i keep waiting for my card to be delivered,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For should keep waiting, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
can i track when my card will be delivered,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
how can i check on the status of my new card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
a card has been sent to me how do i track it,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For card has been, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
is there a way i can get my card expedited,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For there way get, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
what can i do to track the card you sent me,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For track the card, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
why hasnt my card come in yet,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
how can i periodically check the delivery of the card you sent,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
what s the reason my new card hasn t come,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
how long does it take for me to get my new card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For long does take, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
i don t have my card after 1 week what are my next steps,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For don have card, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
i know i m getting a new card but would like know when i can expect to receive it,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For know getting new, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
i want to find out what happened to my new card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For find out happened, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
was there a way for me to get tracking for that,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
i am still waiting for my card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
my card hasn t arrived,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For card hasn arrived, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
can i track the card you sent to me,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For track the card, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
i haven t gotten my new card,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
how long should it take for my new card to arrive in them mail what should i do if i never receive it,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For long should take, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
will i have to wait much longer for my new card to arrive,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For will have wait, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
how to track the card you sent,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
2 weeks ago i ordered my new card it isn t here what should i do,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For weeks ago ordered, review the latest status in your app history and use the provided reference when contacting support.",en,mobile,banking77_local
how can i check on the delivery status of my card,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
my card has not been delivered yet and its been a week since i ordered it please help,card_issue,Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates.,en,mobile,banking77_local
what s the expected wait time to recieve my new card,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status.",en,mobile,banking77_local
how can i see the progress of delivery of the card that was sent,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For see the progress, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
my card was supposed to arrive but hasn t,card_issue,"Card issues are handled from the support section with guided actions. Keep your alerts enabled for card security updates. For card was supposed, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
i ordered a card and would like to know how to track the delivery progress of it,card_issue,"For declined or damaged cards, go to card management in the app. You can request a replacement and track delivery status. For ordered card and, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
how long will it take for me to get my card,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost. For long will take, make sure your profile and security settings are up to date to avoid delays.",en,mobile,banking77_local
my card hasn t shown up yet,card_issue,"Open Card Support to freeze, unblock, replace, or troubleshoot card problems. Use instant freeze first if the card is lost.",en,mobile,banking77_local
