text,label,intent,response,sub_intent
How long will this transfer from europe take?,67,transaction_status,Transfers may take time depending on settlement windows; monitor status in transaction history.,transfer_timing
I was making a purchase and it was declined and I wanted to know why.,27,fund_transfer,"Check transfer limits, balance, and recipient details before retrying the transfer.",declined_transfer
"When will I get a new card when I order it, and how much will it cost.",9,card_issue,Check replacement options and update card details if expiration is near.,card_about_to_expire
ATM withdrawal not working.,26,cash_withdrawal,Retry at a supported ATM after confirming withdrawal limits.,declined_cash_withdrawal
My top up is incomplete.,47,wallet_topup,Track top up status from transaction history and allow time for settlement.,pending_top_up
I am having trouble transferring money to a beneficiery.,7,fund_transfer,Verify beneficiary eligibility and recipient details before retrying the transfer.,beneficiary_not_allowed
There is a payment made with my card that I don't recognize at all.,16,fraud_report,Report the unrecognized card payment immediately and secure your account.,card_payment_not_recognised
"Out of the blue, my card stopped working.",14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
How recent do my documents need to be for verification?,69,kyc_verification,Submit identity documents and track verification progress in the app.,verify_my_identity
"I accidentally made a payment from the wrong account yesterday. It's my rent payment, and it's very large, so the account I paid from won't be able to cover the amount. It's really important that the payment be made from the right account?",8,fund_transfer,Review pending transfer options and cancel the transfer from transaction controls if allowed.,cancel_transfer
Why did my credit card get declined for top up?,59,wallet_topup,Verify funding source details and retry the wallet top up securely.,top_up_failed
Hi I'm sending some money over to an investment bank I do business and the transaction is being rejected. I'm not sure why as I think I have the right details.,35,fund_transfer,Verify recipient information and retry the transfer securely.,failed_transfer
"I attempted to top up my car today, it failed! I just got it a couple of days before and it worked then. What is going on with it?",59,wallet_topup,Verify funding source details and retry the wallet top up securely.,top_up_failed
"Hello, my transfers are getting failed continuously, in spite of the fact that all the recipient details are correct. Please advise.",27,fund_transfer,"Check transfer limits, balance, and recipient details before retrying the transfer.",declined_transfer
I want a new PIN please.,21,card_issue,Use card settings to securely change your card PIN.,change_pin
I didn't get the right amount of  cash because of the exchange rate.,76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
Can I transfer my salary onto here?,50,fund_transfer,Confirm the sender details and check incoming transfer status from transaction history.,receiving_money
I have not been able to use this card.,14,card_issue,Use card controls to troubleshoot the card and verify status before retrying.,card_not_working
Can i get money in my home currency at my ATM ?I am on holiday and bit concerned because i do not have any cash with me .Is it possible to withdraw without any additional cost.,76,cash_withdrawal,Review the applied exchange rate and contact support if it seems incorrect.,wrong_exchange_rate_for_cash_withdrawal
After I transferred money the balance remained the same.,5,transaction_status,Allow time for settlement updates and check account balance again later.,balance_not_updated_after_bank_transfer
"I am blocked now because I entered the wrong pin, need help.",49,card_issue,Use card settings or support options to unblock or reset the card PIN.,pin_blocked
