text,intent,response,language,channel,source
how do i know if i will get my card or if it is lost,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77_local
can someone assist me by explaining why my card is not working,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77_local
i am getting an error stating my transfer is not possible while transferring money let me know the issue as its the first time i am getting error earlier it used to work,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
transfer declined,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
why was my transaction charged an extra fee when paying with my card,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77_local
i am having trouble doing a transfer a decline message appears after making the transfer,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
how long the card validity,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77_local
why is there a random withdrawal in my app,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77_local
declined transfer not completed,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
why did i get charged more for using my card,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77_local
how much can i withdrawal in one month without incurring fees,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77_local
why would the app show a withdrawal that i did not make,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77_local
where is the transaction i made to a friend,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
there is money missing from my account,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77_local
how do i contact customer support about a transfer,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
why won t my card work anymore,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77_local
is there a way to track my card,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77_local
why can t i use my beneficiary,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
help in the app there is a payment that i don t remember,fraud_report,Please report the suspicious transaction immediately and lock your card for safety.,en,mobile,banking77_local
i didn t make a payment at this business,fraud_report,Please report the suspicious transaction immediately and lock your card for safety.,en,mobile,banking77_local
i paid with my card and i was charged a fee,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77_local
i paid with card and was charged a fee that shouldn t be there,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77_local
i made a cash withdrawal and was charged a fee incorrectly can you help with this,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77_local
i need support for new account registration steps in the app,account_opening,You can open an account online by completing the onboarding steps.,en,mobile,synthetic_seed
why did i get charged a fee for my card payment,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77_local
why couldn t i transfer funds to my beneficiary,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
i think my card is broken or something i tried using it and it wouldn t go through please help,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77_local
why did my transfer decline,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
i m being charged for using my card,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77_local
have a payment that i haven t done,fraud_report,Please report the suspicious transaction immediately and lock your card for safety.,en,mobile,banking77_local
transfer to friend local bank,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,regional_aug
i sent money to someone but they haven t gotten it what s going on,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
i dont see my reciept,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77_local
cash i did not get showed up in my account,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77_local
why has my new card still not come,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77_local
