text,intent,response,language,channel,source
how can i check my balance via bakong in phnom penh in cambodia,balance_inquiry,"Open your account dashboard to view available and current balance. If a recent transfer is missing, refresh once and check transaction history. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.",en,mobile,asia_research_qa1008
how do i transfer money with mobile banking for travel expenses in phnom penh in cambodia,fund_transfer,"Start a transfer by selecting recipient and amount, then confirm with your security step. Verify account name and rail details before submitting. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.",en,mobile,asia_research_qa1008
i see an unauthorized qris transaction in phnom penh what should i do in cambodia,fraud_report,Lock card or wallet access immediately and report the transaction as unauthorized. Include reference ID and timestamp so support can investigate faster. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.,en,mobile,asia_research_qa1008
what loan options are available for small business in phnom penh in cambodia,loan_info,"Loan options are listed with tenure, rates, and monthly repayment estimates. Check eligibility requirements before you apply. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.",en,mobile,asia_research_qa1008
what documents are required for kyc verification in phnom penh in cambodia,kyc_verification,Complete verification by uploading clear and valid identity documents. Matching personal details across all fields helps avoid rejection. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.,en,mobile,asia_research_qa1008
how do i open a new digital bank account in phnom penh in cambodia,account_opening,Begin digital onboarding by entering personal details and completing KYC checks. Prepare ID and active phone number before submission. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.,en,mobile,asia_research_qa1008
how can i pay utility bill with qris in phnom penh in cambodia,bill_payment,"Choose your biller, enter the reference number, and confirm payment securely. Set reminders or auto-pay for recurring due dates. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.",en,mobile,asia_research_qa1008
my card was declined at bus ticket in phnom penh what should i do in cambodia,card_issue,"Use card controls to freeze, replace, or troubleshoot your card immediately. If lost or stolen, block the card before requesting reissue. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.",en,mobile,asia_research_qa1008
where can i track my transfer status on acleda in phnom penh in cambodia,transaction_status,"Check activity history for pending, completed, or failed status. Cross-border and interbank transfers may take longer during settlement windows. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.",en,mobile,asia_research_qa1008
what fees apply for fps transfer in phnom penh in cambodia,fee_inquiry,"Fees depend on transfer type, channel, and corridor. Review the fee preview before confirming payment. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.",en,mobile,asia_research_qa1008
what is my daily atm withdrawal limit in phnom penh in cambodia,cash_withdrawal,Withdraw cash at supported ATMs and confirm daily limit before trying again. Keep receipts if cash is not dispensed but account is debited. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.,en,mobile,asia_research_qa1008
how do i top up wallet using qris in phnom penh in cambodia,wallet_topup,Top up your wallet with linked card or bank transfer and confirm source limits first. Pending top-ups usually settle after network confirmation. This is common across ASEAN payment rails and processing times can differ by bank cut-off windows.,en,mobile,asia_research_qa1008
why is my available balance different after a acleda payment in siem reap in thailand,balance_inquiry,"Your latest balance appears under Accounts in the app. Some credits can post after settlement windows, so check again shortly.",en,mobile,asia_research_qa1008
can i send funds from wallet to bank using wing in siem reap in thailand,fund_transfer,"Use your transfer menu to send funds to bank or wallet accounts. Keep OTP and PIN private, and review recipient details carefully.",en,mobile,asia_research_qa1008
how can i report scam payment from fuel station on bakong in siem reap in thailand,fraud_report,"Freeze risky payment methods first, then submit a fraud report in-app. Monitoring alerts should stay enabled until the case is resolved.",en,mobile,asia_research_qa1008
how to check loan eligibility before applying in siem reap in thailand,loan_info,Compare available loan products in the Loans section and review total repayment cost. Updated profile and income details help speed up review.,en,mobile,asia_research_qa1008
why was my kyc rejected after id upload in siem reap in thailand,kyc_verification,"KYC status can be tracked from the verification page in your app. If documents are blurry or expired, submit a corrected upload.",en,mobile,asia_research_qa1008
can foreign workers open an account online in siem reap in thailand,account_opening,You can open an account online and activate it after verification is approved. Review every field carefully to avoid delays.,en,mobile,asia_research_qa1008
can i schedule recurring bill payment for fuel station in siem reap in thailand,bill_payment,Pay utility or service bills from the Payments section and verify charges before final confirmation. Keep the receipt for reconciliation.,en,mobile,asia_research_qa1008
how do i freeze and replace a lost debit card in siem reap in thailand,card_issue,"Card declines can happen due to limits, region controls, or risk checks. Review card settings and contact support with the failure reference.",en,mobile,asia_research_qa1008
recipient has not received money yet from paynow in siem reap in thailand,transaction_status,"Open the transaction detail page and track updates using reference ID. If status is unchanged for too long, contact support for investigation.",en,mobile,asia_research_qa1008
why was extra charge added to my payment in siem reap in thailand,fee_inquiry,"Service charges can vary for ATM, cross-border, and wallet operations. Check pricing details in-app to avoid unexpected costs.",en,mobile,asia_research_qa1008
cash not dispensed but amount deducted what now in siem reap in thailand,cash_withdrawal,"ATM withdrawals may fail due to network, limits, or security checks. Use the transaction reference when reporting a failed dispense.",en,mobile,asia_research_qa1008
why is wallet top up still pending in siem reap in thailand,wallet_topup,Open wallet funding and choose supported payment rails to add money securely. Turn on alerts so you can confirm completion immediately.,en,mobile,asia_research_qa1008
can i see real time balance for my account using paynow in battambang in singapore,balance_inquiry,"Open your account dashboard to view available and current balance. If a recent transfer is missing, refresh once and check transaction history. If this uses rails like KHQR, PromptPay, PayNow, DuitNow, GCash, or UPI, keep the transaction reference for support.",en,mobile,asia_research_qa1008
why did my transfer fail on truemoney in battambang in singapore,fund_transfer,"Start a transfer by selecting recipient and amount, then confirm with your security step. Verify account name and rail details before submitting. If this uses rails like KHQR, PromptPay, PayNow, DuitNow, GCash, or UPI, keep the transaction reference for support.",en,mobile,asia_research_qa1008
someone used my account without permission on acleda in battambang in singapore,fraud_report,"Lock card or wallet access immediately and report the transaction as unauthorized. Include reference ID and timestamp so support can investigate faster. If this uses rails like KHQR, PromptPay, PayNow, DuitNow, GCash, or UPI, keep the transaction reference for support.",en,mobile,asia_research_qa1008
what is the repayment estimate for a personal loan in battambang in singapore,loan_info,"Loan options are listed with tenure, rates, and monthly repayment estimates. Check eligibility requirements before you apply. If this uses rails like KHQR, PromptPay, PayNow, DuitNow, GCash, or UPI, keep the transaction reference for support.",en,mobile,asia_research_qa1008
how long does kyc review usually take in battambang in singapore,kyc_verification,"Complete verification by uploading clear and valid identity documents. Matching personal details across all fields helps avoid rejection. If this uses rails like KHQR, PromptPay, PayNow, DuitNow, GCash, or UPI, keep the transaction reference for support.",en,mobile,asia_research_qa1008
which details are needed to create savings account in battambang in singapore,account_opening,"Begin digital onboarding by entering personal details and completing KYC checks. Prepare ID and active phone number before submission. If this uses rails like KHQR, PromptPay, PayNow, DuitNow, GCash, or UPI, keep the transaction reference for support.",en,mobile,asia_research_qa1008
why did my bill payment show pending in battambang in singapore,bill_payment,"Choose your biller, enter the reference number, and confirm payment securely. Set reminders or auto-pay for recurring due dates. If this uses rails like KHQR, PromptPay, PayNow, DuitNow, GCash, or UPI, keep the transaction reference for support.",en,mobile,asia_research_qa1008
why is contactless payment not working on my card in battambang in singapore,card_issue,"Use card controls to freeze, replace, or troubleshoot your card immediately. If lost or stolen, block the card before requesting reissue. If this uses rails like KHQR, PromptPay, PayNow, DuitNow, GCash, or UPI, keep the transaction reference for support.",en,mobile,asia_research_qa1008
