text,intent,response,language,channel,source
my card hasn t came in the mail yet,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77
i received a fee i should not have,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77
what should i do if i see a payment i didn t make,fraud_report,Please report the suspicious transaction immediately and lock your card for safety.,en,mobile,banking77
i sent money for my rent to my landlord but she is claiming it hasn t arrived in her account can you trace the transfer i made to make sure it arrived so i can provide proof i sent it and that it has been deposited,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77
what do i do if my card is not working,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77
i was charged a fee for using my card can i check that in any way it seems like there are occasions that i am charge for fees can you elaborate this,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77
i was unable to transfer money to a beneficiary,wallet_topup,Wallet top up is available through linked bank card or bank transfer options.,en,mobile,banking77
i am seeing inside the app a some cash withdrawal that is not mine,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
need help with my card it s not working,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77
how come you charge for cash withdrawals i withdrew cash after buying groceries today and there seems to be a new fee,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
why was there a fee for paying by card,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77
more fees this time for withdrawing my own cash why are you robbing me,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
after i used my card i saw i was charged a fee for using it,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77
why am i getting a fee on a card payment,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77
how long does it take for me to get my new card,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77
how long does it take to transfer money my retailer is waiting,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77
i sent a transfer to a friend that needs it urgently it has already been 2 hours and still hasn t come through to her how long does it normally take,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77
i m not familiar with a card payment,fraud_report,Please report the suspicious transaction immediately and lock your card for safety.,en,mobile,banking77
new account registration steps,account_opening,You can open an account online by completing the onboarding steps.,en,mobile,synthetic_seed
how long do money transfers take my friend really needs the money i sent a couple of hours ago but it s not there yet,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77
requirements for account opening,account_opening,You can open an account online by completing the onboarding steps.,en,mobile,regional_aug
i am not able to do a transfer to an account,wallet_topup,Wallet top up is available through linked bank card or bank transfer options.,en,mobile,banking77
it looks like someone else withdrew cash from my account can you help,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
i tried transferring to an account but it didn t go through what happened,wallet_topup,Wallet top up is available through linked bank card or bank transfer options.,en,mobile,banking77
i can t use my card for anything,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77
i was charged a fee for a card payment why,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77
i believe my card has been compromised because of a strange withdrawal,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
why is my transfer taking so long to complete,transaction_status,You can track the latest transaction status in your transaction history.,en,mobile,banking77
can i track my card while it is in the process of delivery,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77
the app is showing a payment i never made,fraud_report,Please report the suspicious transaction immediately and lock your card for safety.,en,mobile,banking77
i payed with the card and there was an extra fee,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77
why was i charged an extra fee when using an atm,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
was there a number to track that i could get,card_issue,"For card issues, please open Card Support to freeze, replace, or troubleshoot.",en,mobile,banking77
i did not make a cash withdrawal that is on my statement,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
there are funds showing in my app that i did not receive,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
is there a limit on how much i can withdraw from my account without being charged,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
in the app i see a withdrawal i didn t make,cash_withdrawal,You can withdraw cash using card-enabled ATM services supported by your account.,en,mobile,banking77
why do you charge for payments why aren t your charges clearly laid out in the agreement,fee_inquiry,Fees depend on account plan and transaction type. Check fee preview before confirmation.,en,mobile,banking77
